                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                     1175                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8147886369231000E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8147886369231000E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329093021178789E+000                  7.3636086273969292E-008                 -7.1329093021178789E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329093021178789E+000                  7.3636086273969292E-008                 -7.1329093021178789E+000                 -2.4334016408029740E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000311949262570E+000                  7.0403261941616957E-001                  4.7460708072006802E-001                  3.4888534658629968E+000                  0.0000000000000000E+000                  1.4065118228467361E+001                 -4.7713776774437150E-001                  6.3975473906277225E+000                  5.9254065334808237E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
                                       5                                     1178                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7086749416436379E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7086749416436379E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329093018059915E+000                  7.3636086326850856E-008                 -7.1329093018059915E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329093018059915E+000                  7.3636086326850856E-008                 -7.1329093018059915E+000                 -2.4334016407021636E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000483313368191E+000                  7.0410134789193168E-001                  4.7460717213682441E-001                  3.4888532830294841E+000                  0.0000000000000000E+000                  1.4065118228583836E+001                 -4.7713776765443078E-001                  6.3975473906542710E+000                  5.9254065334808137E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
                                      10                                     1178                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7175137754243128E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7175137754243128E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329093008534228E+000                  7.3636086488362119E-008                 -7.1329093008534228E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329093008534228E+000                  7.3636086488362119E-008                 -7.1329093008534228E+000                 -2.4334016403923549E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000475867596645E+000                  7.0409834310385477E-001                  4.7460715889709593E-001                  3.4888533095089413E+000                  0.0000000000000000E+000                  1.4065118228932937E+001                 -4.7713776738731101E-001                  6.3975473907362419E+000                  5.9254065334807815E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000037E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  7.5969999999999993E-001                  2.4017443788575951E-001                                        0                                        2 
                                      15                                     1178                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7351704319761954E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7351704319761954E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329092984623159E+000                  7.3636086893782343E-008                 -7.1329092984623159E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329092984623159E+000                  7.3636086893782343E-008                 -7.1329092984623159E+000                 -2.4334016396134459E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000473537721268E+000                  7.0409739916564640E-001                  4.7460715290306776E-001                  3.4888533214969977E+000                  0.0000000000000000E+000                  1.4065118229807339E+001                 -4.7713776671921665E-001                  6.3975473909425231E+000                  5.9254065334807038E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
                                      20                                     1178                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7632100979771503E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7632100979771503E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329092924906154E+000                  7.3636087906304180E-008                 -7.1329092924906154E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329092924906154E+000                  7.3636087906304180E-008                 -7.1329092924906154E+000                 -2.4334016376666217E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472866046841E+000                  7.0409712509159916E-001                  4.7460715020092814E-001                  3.4888533269012769E+000                  0.0000000000000000E+000                  1.4065118231989072E+001                 -4.7713776505324673E-001                  6.3975473914582093E+000                  5.9254065334805017E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000037E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  7.5969999999999993E-001                  2.4017443788575951E-001                                        0                                        2 
                                      25                                     1178                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7920525658046629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.7920525658046629E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329092776059362E+000                  7.3636090430051605E-008                 -7.1329092776059362E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329092776059362E+000                  7.3636090430051605E-008                 -7.1329092776059362E+000                 -2.4334016328118604E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472753511904E+000                  7.0409707645910391E-001                  4.7460714839166923E-001                  3.4888533305197944E+000                  0.0000000000000000E+000                  1.4065118237424530E+001                 -4.7713776090383131E-001                  6.3975473927440349E+000                  5.9254065334800088E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
                                      30                                     1178                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8080320380838485E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8080320380838485E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329092405446586E+000                  7.3636096713916084E-008                 -7.1329092405446586E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329092405446586E+000                  7.3636096713916084E-008                 -7.1329092405446586E+000                 -2.4334016207208563E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472748573117E+000                  7.0409706757413459E-001                  4.7460714493694062E-001                  3.4888533374292519E+000                  0.0000000000000000E+000                  1.4065118250955532E+001                 -4.7713775057527941E-001                  6.3975473959459297E+000                  5.9254065334787731E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000037E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  7.5969999999999993E-001                  2.4017443788575951E-001                                        0                                        2 
                                      35                                     1178                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8133004922568719E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8133004922568719E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329091482970126E+000                  7.3636112354817821E-008                 -7.1329091482970126E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329091482970126E+000                  7.3636112354817821E-008                 -7.1329091482970126E+000                 -2.4334015906216909E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472749794220E+000                  7.0409705096004283E-001                  4.7460713638567503E-001                  3.4888533545317832E+000                  0.0000000000000000E+000                  1.4065118284631323E+001                 -4.7713772487077177E-001                  6.3975474039158167E+000                  5.9254065334756967E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
                                      40                                     1178                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8145809788242573E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8145809788242573E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329089187282158E+000                  7.3636151279001499E-008                 -7.1329089187282158E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329089187282158E+000                  7.3636151279001499E-008                 -7.1329089187282158E+000                 -2.4334015157130835E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472752375302E+000                  7.0409700947725029E-001                  4.7460711512806192E-001                  3.4888533970470093E+000                  0.0000000000000000E+000                  1.4065118368433071E+001                 -4.7713766090637383E-001                  6.3975474237496632E+000                  5.9254065334680417E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000037E-001                  2.4017443788575957E-001                  1.7234416803928866E-005                  4.6902638225742498E-005                  1.7234416803928873E-005                  4.6902638225742498E-005                  7.5969999999999993E-001                  2.4017443788575951E-001                                        0                                        2 
                                      45                                     1178                  1.8281309940044158E-001                 -1.5160251739045081E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8148355746909166E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999745839996E-001                  2.8148355746909166E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.1329083474513224E+000                  7.3636248141064309E-008                 -7.1329083474513224E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.1329083474513224E+000                  7.3636248141064309E-008                 -7.1329083474513224E+000                 -2.4334013293021435E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7000472759568837E+000                  7.0409690667369662E-001                  4.7460706228757793E-001                  3.4888535027279772E+000                  0.0000000000000000E+000                  1.4065118576966487E+001                 -4.7713750173779534E-001                  6.3975474731057735E+000                  5.9254065334489847E-001                  8.7985426035237357E-001                  1.2198718649594935E+000                  7.5970000000000004E-001                  2.4017443788575948E-001                  1.7234416803928863E-005                  4.6902638225742498E-005                  1.7234416803928870E-005                  4.6902638225742498E-005                  7.5969999999999982E-001                  2.4017443788575943E-001                                        0                                        2 
