                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      651                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.5181647012407007E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.5181647012407007E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572224115391757E+000                  5.5306679928150441E-008                 -7.2572224115391757E+000                 -9.8999999999999986E+001                 -2.2702188411406887E+001                 -7.2572224115391757E+000                  5.5306679928150441E-008                 -7.2572224115391801E+000                 -2.1247827541177145E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952461063728719E+000                  1.4425295068480397E+000                  8.5342570154277220E-001                  3.1291562328896263E+000                  0.0000000000000000E+000                  1.3352611799114564E+001                 -1.2103006382086208E+000                  6.4348657993740934E+000                  6.2126713898583064E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
                                       5                                      651                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.1053643964986232E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.1053643964986232E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572224108468735E+000                  5.5306680016313938E-008                 -7.2572224108468735E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572224108468735E+000                  5.5306680016313938E-008                 -7.2572224108468779E+000                 -2.1247827538906122E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952493816876668E+000                  1.4425426123055416E+000                  8.5342570364193404E-001                  3.1291562286913024E+000                  0.0000000000000000E+000                  1.3352611799371974E+001                 -1.2103006380145358E+000                  6.4348657994374197E+000                  6.2126713898579622E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
                                      10                                      651                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0969508336083436E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0969508336083436E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572224088458732E+000                  5.5306680271137977E-008                 -7.2572224088458732E+000                 -9.8999999999999986E+001                 -2.2878279670462568E+001                 -7.2572224088458732E+000                  5.5306680271137977E-008                 -7.2572224088458777E+000                 -2.1247827532337475E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952491386272208E+000                  1.4425416310260673E+000                  8.5342569912308941E-001                  3.1291562377289917E+000                  0.0000000000000000E+000                  1.3352611800114969E+001                 -1.2103006374547933E+000                  6.4348657996206553E+000                  6.2126713898569574E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.7499999999999991E+000                  6.9992550591187275E-001                                        0                                        2 
                                      15                                      651                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0824024092949180E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0824024092949180E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572224038551916E+000                  5.5306680906693009E-008                 -7.2572224038551916E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572224038551916E+000                  5.5306680906693009E-008                 -7.2572224038551960E+000                 -2.1247827515949247E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952488081628920E+000                  1.4425403009039082E+000                  8.5342569499066689E-001                  3.1291562459938369E+000                  0.0000000000000000E+000                  1.3352611801967003E+001                 -1.2103006360600617E+000                  6.4348658000778967E+000                  6.2126713898544483E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
                                      20                                      651                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0692984413094818E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0692984413094818E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572223914258887E+000                  5.5306682489544080E-008                 -7.2572223914258887E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572223914258887E+000                  5.5306682489544080E-008                 -7.2572223914258931E+000                 -2.1247827475125188E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486947606342E+000                  1.4425398407638286E+000                  8.5342569172514249E-001                  3.1291562525248859E+000                  0.0000000000000000E+000                  1.3352611806578468E+001                 -1.2103006325877297E+000                  6.4348658012168700E+000                  6.2126713898482000E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.7499999999999991E+000                  6.9992550591187275E-001                                        0                                        2 
                                      25                                      651                  4.7198108322034473E-003                 -3.0996500948570040E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0886390971713042E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.0886390971713042E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572223604853452E+000                  5.5306686429771222E-008                 -7.2572223604853452E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572223604853452E+000                  5.5306686429771222E-008                 -7.2572223604853496E+000                 -2.1247827373470770E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486630750463E+000                  1.4425397061309635E+000                  8.5342568777988592E-001                  3.1291562604153986E+000                  0.0000000000000000E+000                  1.3352611818056321E+001                 -1.2103006239456466E+000                  6.4348658040522206E+000                  6.2126713898326436E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
                                      30                                      651                  1.1818815689988481E-002                 -2.7037438646188803E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.1898038879849288E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.1898038879849288E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572222834810711E+000                  5.5306696236139395E-008                 -7.2572222834810720E+000                 -9.8999999999999986E+001                 -2.2577249674798587E+001                 -7.2572222834810711E+000                  5.5306696236139395E-008                 -7.2572222834810765E+000                 -2.1247827120360341E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486565403651E+000                  1.4425396646233433E+000                  8.5342568009543807E-001                  3.1291562757842946E+000                  0.0000000000000000E+000                  1.3352611846618982E+001                 -1.2103006024401064E+000                  6.4348658111082990E+000                  6.2126713897939267E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.7499999999999991E+000                  6.9992550591187275E-001                                        0                                        2 
                                      35                                      651                  2.9483411457712130E-002                 -2.3078376343807561E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.3638893559728182E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.3638893559728182E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572220918544623E+000                  5.5306720639481913E-008                 -7.2572220918544623E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572220918544623E+000                  5.5306720639481913E-008                 -7.2572220918544668E+000                 -2.1247826490159930E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486565781042E+000                  1.4425396283563050E+000                  8.5342566188644065E-001                  3.1291563122022894E+000                  0.0000000000000000E+000                  1.3352611917690798E+001                 -1.2103005489281913E+000                  6.4348658286656057E+000                  6.2126713896975916E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
                                      40                                      651                  7.3438578398454232E-002                 -1.9119314041426323E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.4790983731378469E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.4790983731378469E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572216150026350E+000                  5.5306781365847076E-008                 -7.2572216150026350E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572216150026350E+000                  5.5306781365847076E-008                 -7.2572216150026394E+000                 -2.1247824921349046E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486597167318E+000                  1.4425395510653174E+000                  8.5342561696369146E-001                  3.1291564020477876E+000                  0.0000000000000000E+000                  1.3352612094535804E+001                 -1.2103004157761394E+000                  6.4348658723521224E+000                  6.2126713894578900E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860789E-003                  9.3805276451495393E-003                  3.4468833607860798E-003                  9.3805276451495393E-003                  1.7499999999999991E+000                  6.9992550591187275E-001                                        0                                        2 
                                      45                                      651                  1.8281309940044158E-001                 -1.5160251739045081E+000                  2.5000000000000000E+000                  3.3696445919032705E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.5124860090921042E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999326399946E-001                  2.5124860090921042E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.2572204284074555E+000                  5.5306932477253142E-008                 -7.2572204284074555E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -7.2572204284074555E+000                  5.5306932477253142E-008                 -7.2572204284074600E+000                 -2.1247821016914045E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6952486681927499E+000                  1.4425393617945403E+000                  8.5342550537626716E-001                  3.1291566252226364E+000                  0.0000000000000000E+000                  1.3352612534576016E+001                 -1.2103000844553311E+000                  6.4348659810555393E+000                  6.2126713888614538E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  6.9999999999999996E-001                  2.7997020236474895E-001                  3.4468833607860802E-003                  9.3805276451495445E-003                  3.4468833607860798E-003                  9.3805276451495410E-003                  1.7499999999999998E+000                  6.9992550591187286E-001                                        0                                        2 
