                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      601                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997667376738741E-001                  5.9156929026140455E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997667376738741E-001                  5.9156929026140455E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7812737300667923E+001                  1.5390853323731500E-018                 -1.7812737300667923E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.7812737300667923E+001                  1.5390853323731500E-018                 -1.7812737300667923E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6088079082247746E+000                  4.2622892566679118E+000                  2.4361819727489031E+000                  8.8792297653924546E-001                  0.0000000000000000E+000                  8.9624606807357186E+000                 -4.9403430035312752E+000                  5.6932075545865830E+000                  6.1273749513874542E-001                  8.5900475343229010E-001                  1.2724973475622736E+000                  7.1800000000000008E-001                  2.6797147940625965E-001                  2.4128183525503086E-003                  6.5663693516046784E-003                  2.4128183525503086E-003                  6.5663693516046784E-003                  1.5078000000000003E+001                  5.6274010675314541E+000                                        0                                        2 
                                     200                                     1108                  2.4442293442239796E+004                  2.8906373089552106E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  1.3598326999288395E+000                  6.3852839538950379E-002                  7.8128826519474615E-008                  9.9999998025662740E-001                  9.9999987389132994E-001                  6.3852839538950379E-002                  7.8128826519474615E-008                  9.9999998025662740E-001                  9.9999987389132994E-001                  4.1534232997664233E+000                  1.4237157836849214E+004                  4.1534232997664233E+000                 -3.3539994686973380E+001                 -1.1439139835231284E+001                  4.1534232997664233E+000                  1.4237157836849214E+004                  2.8822233099739143E+000                  4.1295186817527112E+000                 -3.3539994686973380E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6470753447781564E+033                  1.5063478429646719E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5007734965807931E+000                  4.8120526243327788E+000                  9.2713247986929970E-001                  3.9060219622984529E+000                  0.0000000000000000E+000                  1.6098892322102802E+001                  4.3551026282900956E-001                  7.4616113242349336E+000                  6.0802533932595237E-001                  8.5893931687264746E-001                  1.2727034689526155E+000                  7.1787449694985372E-001                  2.6798587675532881E-001                  1.6490564952789017E-003                  6.5657474765320164E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.5077756263870778E+001                  5.6274354282556738E+000                                        4                                        4 
                                     400                                     1138                  2.2435779280588886E+005                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.5807598742654125E+000                  4.5490800337849197E-001                  7.8128825797829649E-008                  9.9999999488728319E-001                  9.9999997288261167E-001                  4.5490800337849197E-001                  7.8128825797829649E-008                  9.9999999488728319E-001                  9.9999997288261167E-001                  4.6877951964395992E+000                  4.8729863677692330E+004                  4.6877951964395992E+000                 -2.7615425732615559E+001                 -1.1138109839567303E+001                  4.6877951964395992E+000                  4.8729863677692330E+004                  1.8171489782302841E+000                  4.6872098260565709E+000                 -2.7615425732615559E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0481100523432722E+034                  1.7410262833151853E+034                  1.9269941999388206E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.3297302048481620E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5527959394053408E+000                  4.6867405208452544E+000                  7.6043154247644296E-001                  4.2394238370841659E+000                  0.0000000000000000E+000                  1.6442198123705943E+001                  6.7460777114675952E-001                  7.5601380749896610E+000                  6.1264425530722144E-001                  8.5398779694169502E-001                  1.2848832401236483E+000                  7.0797556940421535E-001                  2.7780544838069887E-001                  6.0282716121452763E-005                  5.1809253901884261E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4980785498147362E+001                  5.7224268262433204E+000                                        4                                        3 
                                     600                                     1130                  4.2435779280588881E+005                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.5305689504031150E+000                  4.5204049320207157E-001                  7.8128826019874253E-008                  9.9999999435846432E-001                  9.9999997103353655E-001                  4.5204049320207157E-001                  7.8128826019874253E-008                  9.9999999435846432E-001                  9.9999997103353655E-001                  4.6930644116126405E+000                  4.9324695357376128E+004                  4.6930644116126405E+000                 -2.7746552151093216E+001                 -9.8999999999999986E+001                  4.6930644116126405E+000                  4.9324695357376128E+004                  1.7667031513970679E+000                  4.6925495619286695E+000                 -2.7746552151093216E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0470037905444235E+034                  1.7361525810841658E+034                  2.0211588235109500E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.2154580825102279E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5501776023667198E+000                  4.6923344120917037E+000                  7.6846516217690986E-001                  4.2233565976832326E+000                  0.0000000000000000E+000                  1.6425105091709511E+001                  6.6290962170346224E-001                  7.5571840269741655E+000                  6.1751673266079954E-001                  8.4882406603492666E-001                  1.2977486314374218E+000                  6.9764810761055351E-001                  2.8825296300215009E-001                  7.0216888589054707E-005                  4.2337488081796394E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4881264054726818E+001                  5.8229234956333720E+000                                        4                                        3 
                                     800                                     1130                  6.2435779280588881E+005                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.4146675551348409E+000                  4.4773251746493342E-001                  7.8128826241918858E-008                  9.9999999435846432E-001                  9.9999996942507641E-001                  4.4773251746493342E-001                  7.8128826241918858E-008                  9.9999999435846432E-001                  9.9999996942507641E-001                  4.6987912498502293E+000                  4.9979424364015584E+004                  4.6987912498502293E+000                 -2.7796782906391762E+001                 -9.8999999999999986E+001                  4.6987912498502293E+000                  4.9979424364015584E+004                  1.7348462915936440E+000                  4.6983191048401416E+000                 -2.7796782906391762E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0467957876984467E+034                  1.7322075590419171E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5483139447525609E+000                  4.6982032022737483E+000                  7.7512687249624845E-001                  4.2100331770445552E+000                  0.0000000000000000E+000                  1.6413612346767433E+001                  6.5547139313937963E-001                  7.5556402797516471E+000                  6.2256102438835736E-001                  8.4356685368342521E-001                  1.3111291259119735E+000                  6.8713368371802841E-001                  2.9885519680965544E-001                  7.7512361708837564E-005                  3.5410162372842783E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4780707455075948E+001                  5.9242117366042448E+000                                        4                                        3 
                                    1000                                     1164                  8.2435779280588881E+005                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.3466807799303240E+000                  4.4339781326435385E-001                  7.8128825242718136E-008                  4.5738200162831422E-001                  4.5704854026533709E-001                  4.4339781326435385E-001                  7.8128825242718136E-008                  4.5738200162831422E-001                  4.5704854026533709E-001                  4.7048230205585586E+000                  5.0678414646867990E+004                  4.7048230205585577E+000                 -2.7803203261319879E+001                 -1.0359958589183659E+001                  4.7048230205585586E+000                  5.0678414646867990E+004                  1.7104162919869645E+000                  4.7043828736685249E+000                 -2.7803203261319879E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0472909069269780E+034                  1.7290093620139944E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5468787597939047E+000                  4.7043135459628065E+000                  7.8105241425809158E-001                  4.1981820935208694E+000                  0.0000000000000000E+000                  1.6405255638805393E+001                  6.5039145256550457E-001                  7.5548786418618992E+000                  6.2767275325317562E-001                  8.3832770052519601E-001                  1.3247503872467972E+000                  6.7665537851885049E-001                  3.0939963141479038E-001                  8.3059940621568393E-005                  3.0194459306590645E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4678928558624371E+001                  6.0265677611395301E+000                                        4                                        5 
                                    1200                                     1157                  1.0243577928058888E+006                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.2337529141943904E+000                  4.3904984896724086E-001                  7.8128825520273892E-008                  4.5838249076246995E-001                  4.5704852970759136E-001                  4.3904984896724086E-001                  7.8128825520273892E-008                  4.5838249076246995E-001                  4.5704852970759136E-001                  4.7109374422103318E+000                  5.1396961168545778E+004                  4.7109374422103318E+000                 -2.7786464990418722E+001                 -9.8999999999999986E+001                  4.7109374422103318E+000                  5.1396961168545778E+004                  1.6887147282252946E+000                  4.7105246153045917E+000                 -2.7786464990418722E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0475576932207888E+034                  1.7255653509517747E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5455505242455567E+000                  4.7104772749671717E+000                  7.8679074985696951E-001                  4.1867054223231133E+000                  0.0000000000000000E+000                  1.6398236106147625E+001                  6.4644120017265971E-001                  7.5545024286217943E+000                  6.3316768344145991E-001                  8.3279149113425777E-001                  1.3394609871208694E+000                  6.6558296107471804E-001                  3.2052841103367274E-001                  8.7841161977731319E-005                  2.5749556003233629E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4575810889712875E+001                  6.1301529261588499E+000                                        4                                        5 
                                    1400                                     1165                  1.2243577928058889E+006                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.1468458222651172E+000                  4.3467992910115799E-001                  7.8128825464762741E-008                  4.6344278841117892E-001                  4.5704753715979946E-001                  4.3467992910115799E-001                  7.8128825464762741E-008                  4.6344278841117892E-001                  4.5704753715979946E-001                  4.7172582552163300E+000                  5.2150473411259954E+004                  4.7172582552163300E+000                 -2.7751376776177398E+001                 -9.8999999999999986E+001                  4.7172582552163300E+000                  5.2150473411259954E+004                  1.6688620576432867E+000                  4.7168695839504027E+000                 -2.7751376776177398E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0480186354060588E+034                  1.7222293167163813E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5443659616983743E+000                  4.7168308557942877E+000                  7.9233666536489122E-001                  4.1756135913072692E+000                  0.0000000000000000E+000                  1.6392501160467344E+001                  6.4349437687363409E-001                  7.5544592119588270E+000                  6.3882589310143967E-001                  8.2719141485473846E-001                  1.3546825424622158E+000                  6.5438280990936537E-001                  3.3177447124436904E-001                  9.1800188623248187E-005                  2.2129953882409218E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4471277499185049E+001                  6.2350710538444654E+000                                        4                                        5 
                                    1600                                     1149                  1.4243577928058889E+006                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  9.0564484488360595E+000                  4.2882151720398187E-001                  7.8128824299028565E-008                  4.6626259721918417E-001                  4.5694831595740165E-001                  4.2882151720398187E-001                  7.8128824299028565E-008                  4.6626259721918417E-001                  4.5694831595740165E-001                  4.7236650362425410E+000                  5.2925508121931183E+004                  4.7236650362425410E+000                 -2.7703112799468485E+001                 -1.1138109839567303E+001                  4.7236650362425410E+000                  5.2925508121931183E+004                  1.6499006264362992E+000                  4.7232984271828258E+000                 -2.7703112799468485E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0483717454138080E+034                  1.7186416334389133E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5432298482072788E+000                  4.7232602477842232E+000                  7.9782358834205092E-001                  4.1646397453529502E+000                  0.0000000000000000E+000                  1.6387546896835090E+001                  6.4120959220517337E-001                  7.5546469416993940E+000                  6.4477097008110928E-001                  8.2141415960405051E-001                  1.3707565358043639E+000                  6.4282830083412590E-001                  3.4336782148075107E-001                  9.5213371286363821E-005                  1.9068512365977572E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4365261174484623E+001                  6.3414068998510231E+000                                        4                                        5 
                                    1800                                     1159                  1.6243577928058889E+006                  3.0000000000000000E+000                  2.1000000000000000E+001                  3.4620725205094587E+001                 -9.8999999999999986E+001                  8.9557013730861872E+000                  4.2587940575847549E-001                  7.8128826186407707E-008                  4.6626259721918417E-001                  4.5685207612787160E-001                  4.2587940575847549E-001                  7.8128826186407707E-008                  4.6626259721918417E-001                  4.5685207612787160E-001                  4.7302393565141925E+000                  5.3732785697638603E+004                  4.7302393565141925E+000                 -2.7644660990592218E+001                 -1.0359958589183659E+001                  4.7302393565141925E+000                  5.3732785697638603E+004                  1.6312637353059936E+000                  4.7298934317600168E+000                 -2.7644660990592218E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0487507186207801E+034                  1.7150229202216077E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5421417001898048E+000                  4.7298494150165018E+000                  8.0329446799313897E-001                  4.1536979860507737E+000                  0.0000000000000000E+000                  1.6383279320164355E+001                  6.3948891159177379E-001                  7.5550246915253947E+000                  6.5092342665181280E-001                  8.1554718240771473E-001                  1.3874786104207000E+000                  6.3109434784047724E-001                  3.5513435508528057E-001                  9.8144580174241129E-005                  1.6501482046092765E-003                  2.4128183525503077E-003                  6.5663693516046819E-003                  1.4257702118606323E+001                  6.4492340968866548E+000                                        4                                        5 
